127.0.0.1 - - [22/Jun/2018:22:25:27 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:33 +0800] "GET /Password-box-4/user/info.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:34 +0800] "GET /Password-box-4/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:34 +0800] "GET /Password-box-4/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:34 +0800] "GET /Password-box-4/css/register.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:34 +0800] "GET /Password-box-4/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:25:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:26:52 +0800] "GET /Password-box-4/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:05 +0800] "GET /Password-box-4/user/login.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:05 +0800] "GET /Password-box-4/css/login.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:05 +0800] "GET /Password-box-4/captcha HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:10 +0800] "GET /Password-box-4/account/accountList.jsp HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:10 +0800] "GET /Password-box-4/css/accountlist.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:19 +0800] "GET /Password-box-4/user/info.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:22 +0800] "GET /Password-box-4/account?action=trashList HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:22 +0800] "GET /Password-box-4/css/message.css HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:27 +0800] "GET /Password-box-4/user?action=logout HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:43 +0800] "GET /Password-box-4/user/createSecurityQuestion.jsp HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:43 +0800] "GET /Password-box-4/css/addaccount.css HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:51 +0800] "GET /Password-box-4/account/addAccount.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:54 +0800] "GET /Password-box-4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:54 +0800] "GET /Password-box-4/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:54 +0800] "GET /Password-box-4/user/login.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:27:54 +0800] "GET /Password-box-4/captcha HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:26 +0800] "GET /Password-box-4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:26 +0800] "GET /Password-box-4/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:26 +0800] "GET /Password-box-4/user/login.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:26 +0800] "GET /Password-box-4/captcha HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:29 +0800] "GET /Password-box-4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:29 +0800] "GET /Password-box-4/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:29 +0800] "GET /Password-box-4/user/login.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:29 +0800] "GET /Password-box-4/captcha HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:30 +0800] "GET /Password-box-4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:30 +0800] "GET /Password-box-4/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:30 +0800] "GET /Password-box-4/user/login.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:30 +0800] "GET /Password-box-4/captcha HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:32 +0800] "GET /Password-box-4/account/addAccount.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:34 +0800] "GET /Password-box-4/user/info.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:35 +0800] "GET /Password-box-4/account?action=trashList HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [22/Jun/2018:22:28:37 +0800] "GET /Password-box-4/user?action=logout HTTP/1.1" 200 853
